system:time_start,p25,Median,IQR,Left date,Right date
"Mar 6, 2025",28.095,33.415,39.891,,
"Mar 15, 2025",30.981,37.717,46.567,,
"Mar 24, 2025",41.583,48.453,56.05,,
"Apr 2, 2025",29.011,36.025,43.226,,
"Apr 11, 2025",45.608,53.045,61.691,,
"Apr 20, 2025",38.578,46.971,60.754,,
"Apr 29, 2025",43.498,52.328,64.743,,
"May 8, 2025",47.41,58.683,73.517,,
"May 17, 2025",46.475,52.868,58.819,,
"May 26, 2025",35.23,37.877,40.821,,
"Jun 4, 2025",41.434,48.416,56.056,,
"Jun 13, 2025",35.088,41.085,47.201,,
"Jun 22, 2025",27.939,30.374,32.517,,
"Jul 1, 2025",28.856,32.455,35.923,,
"Jul 10, 2025",25.071,28.32,31.999,,
"Jul 19, 2025",24.322,27.887,31.94,,
"Jul 28, 2025",33.943,34.728,34.992,,
"Aug 6, 2025",29.437,30.975,31.693,,
"Aug 15, 2025",19.398,22.806,26.113,,
"Aug 24, 2025",19.036,21.552,24.01,,
"Sep 2, 2025",15.596,19.964,25.17,,
"Sep 11, 2025",23.961,24.976,26.051,,
"Sep 20, 2025",26.45,28.026,29.737,,
"Sep 29, 2025",23.24,28.243,33.883,,
"Oct 8, 2025",20.389,25.71,31.658,,
"Oct 17, 2025",27.857,32.512,37.46,,
"Oct 26, 2025",24.168,26.439,28.998,,
"Nov 4, 2025",29.648,34.981,42.52,,
"Nov 13, 2025",36.376,41.186,47.761,,
"Nov 22, 2025",28.541,33.2,39.299,,
"Dec 1, 2025",34.714,41.104,47.986,,
"Dec 10, 2025",38.479,44.283,52.587,,
"Dec 19, 2025",33.35,33.353,33.356,,
"Dec 28, 2025",26.499,30.975,35.568,,
"Jan 6, 2026",29.969,30.375,30.781,,
"Jan 15, 2026",26.643,31.094,38.185,,
"Jan 24, 2026",30.011,36.226,45.554,,
"Feb 2, 2026",21.604,28.007,36.341,,
"Feb 11, 2026",26.48,32.144,39.562,,
"Feb 20, 2026",38.562,44.667,52.705,,
"Mar 1, 2026",28.587,34.889,42.151,,
"Mar 10, 2026",30.523,37.467,48.596,,
"Mar 19, 2026",38.126,48.148,67.513,,
"Mar 28, 2026",38.729,48.665,57.287,,
"Apr 6, 2026",39.189,46.182,54.394,,
"Apr 15, 2026",47.048,53.462,61.211,,
"Apr 16, 2026",,,,,0
